train_loss,val_loss,val_macro_f1,val_accuracy
1.0319492187001922,1.2222707130723454,0.47256208541942246,0.4661383285302594
0.821391274485903,1.1078533526799865,0.5546192629704367,0.5590778097982709
0.6758003803442151,1.0667291872783078,0.5669718245527033,0.5929394812680115
0.556369685082941,1.1317955324216946,0.562587385014766,0.5835734870317003
0.5168252519565061,1.1724473602146512,0.5432763050804474,0.569164265129683
0.4519538230244099,1.1530671707147824,0.5545705300685216,0.5828530259365994
0.39258792685107335,1.079090013284161,0.5836826213538543,0.6246397694524496
0.3639035775639494,1.092767325189684,0.5816300516658243,0.6217579250720461
0.3494666552946498,1.0628791425688466,0.5976916807404894,0.638328530259366
0.3248682082065606,1.0249594721395618,0.5912989934335308,0.6433717579250721
0.31107201856402206,1.0255705722814334,0.5950211027013839,0.6556195965417867
0.3042513814206863,1.117097417284501,0.5857225483273736,0.6246397694524496
