train_loss,val_loss,val_macro_f1,val_accuracy
1.0318737021789024,0.938980809034463,0.5237707077135689,0.6231988472622478
0.8553308140022964,0.844064912380334,0.558363599339925,0.6570605187319885
0.7452520456182242,0.8001403142121065,0.6148626689768996,0.6793948126801153
0.6932855686559106,0.8106054541700511,0.5933399266364096,0.6736311239193083
0.6204964312540221,0.8061697684894034,0.6159885206722979,0.6822766570605188
0.5763527687793503,0.8638764363029161,0.6147878222205101,0.6873198847262247
0.5371487007437763,0.9144865794896392,0.5690989062923864,0.6657060518731989
0.4871133854312281,0.8869838008619523,0.6229206498615434,0.6736311239193083
0.45295862695588496,1.0504231106822703,0.5731147788746436,0.6534582132564841
0.43290649773338424,0.9846842119776207,0.6003393638990855,0.6628242074927954
